metric,count,mean,std,min,25%,50%,75%,max,file
total_counts,167780.0,191.33958435058594,129.43002319335938,0.0,96.0,164.0,262.0,1359.0,xenium_breast_cancer.h5ad
n_genes_by_counts,167780.0,63.20428537370366,24.550798531820405,0.0,48.0,64.0,79.0,194.0,xenium_breast_cancer.h5ad
pct_counts_mito,0.0,,,,,,,,xenium_breast_cancer.h5ad
total_counts,100064.0,2267.462890625,687.5137939453125,310.2999572753906,1743.1860046386719,2267.8970947265625,2801.8797607421875,4532.7470703125,xenium_sc_data.h5ad
n_genes_by_counts,100064.0,1778.8029261272786,1345.2320548922708,201.0,818.0,1339.0,2334.0,10358.0,xenium_sc_data.h5ad
pct_counts_mito,100064.0,1.8773159980773926,0.714364767074585,0.0,1.4136388301849365,1.7695785164833069,2.224155902862549,8.533825874328613,xenium_sc_data.h5ad
